value,fixed,table_name,column_name,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values (",,,,,,,,
USA:Minnesota,North America:USA:Minnesota:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:Minnesota','North America:USA:Minnesota:-'",,,,,,,,
"USA: Hamilton, MT",North America:USA:Montana:Hamilton,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Hamilton, MT','North America:USA:Montana:Hamilton'",,,,,,,,
Bangladesh,Asia:Bangladesh:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Bangladesh','Asia:Bangladesh:-:-'",,,,,,,,
USA: Georgia,North America:USA:Georgia:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Georgia','North America:USA:Georgia:-'",,,,,,,,
Australia: NSW,Oceania:Australia:New South Wales:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Australia: NSW','Oceania:Australia:New South Wales:-'",,,,,,,,
USA: Virginia,North America:USA:Virginia:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Virginia','North America:USA:Virginia:-'",,,,,,,,
USA:California,North America:USA:California:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:California','North America:USA:California:-'",,,,,,,,
Portugal,Europe:Portugal:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Portugal','Europe:Portugal:-:-'",,,,,,,,
"USA: CA, San Diego County",North America:USA:California:San Diego County,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: CA, San Diego County','North America:USA:California:San Diego County'",,,,,,,,
United Kingdom:Scotland,Europe:United Kingdom:Scotland:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','United Kingdom:Scotland','Europe:United Kingdom:Scotland:-'",,,,,,,,
United Kingdom:Wales,Europe:United Kingdom:Wales:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','United Kingdom:Wales','Europe:United Kingdom:Wales:-'",,,,,,,,
United Kingdom:England,Europe:United Kingdom:England:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','United Kingdom:England','Europe:United Kingdom:England:-'",,,,,,,,
Spain:Valencia,Europe:Spain:Comunitat Valenciana:Valencia,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Spain:Valencia','Europe:Spain:Comunitat Valenciana:Valencia'",,,,,,,,
China,Asia:China:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','China','Asia:China:-:-'",,,,,,,,
"USA:WI,Madison",North America:USA:Wisconsin:Madison,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:WI,Madison','North America:USA:Wisconsin:Madison'",,,,,,,,
Hong Kong,Asia:Hong Kong:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Hong Kong','Asia:Hong Kong:-:-'",,,,,,,,
Australia: Victoria,Oceania:Australia:Victoria:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Australia: Victoria','Oceania:Australia:Victoria:-'",,,,,,,,
China: Wuhan,Asia:China:Hubei:Wuhan,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','China: Wuhan','Asia:China:Hubei:Wuhan'",,,,,,,,
"Brazil: Feira de Santana, BA",South America:Brazil:Bahia:Feira de Santana,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Brazil: Feira de Santana, BA','South America:Brazil:Bahia:Feira de Santana'",,,,,,,,
USA:Wisconsin,North America:USA:Wisconsin:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:Wisconsin','North America:USA:Wisconsin:-'",,,,,,,,
