value,fixed,table_name,column_name,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values (",,,,,,,,
USA: DC,North America:USA:Washington DC:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: DC','North America:USA:Washington DC:-'",,,,,,,,
USA: IA,North America:USA:Iowa:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: IA','North America:USA:Iowa:-'",,,,,,,,
USA: IN,North America:USA:Indiana:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: IN','North America:USA:Indiana:-'",,,,,,,,
USA: KS,North America:USA:Kansas:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: KS','North America:USA:Kansas:-'",,,,,,,,
USA: LA,North America:USA:Louisiana:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: LA','North America:USA:Louisiana:-'",,,,,,,,
USA: MD,North America:USA:Maryland:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: MD','North America:USA:Maryland:-'",,,,,,,,
USA: MO,North America:USA:Missouri:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: MO','North America:USA:Missouri:-'",,,,,,,,
USA: NE,North America:USA:Nebraska:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: NE','North America:USA:Nebraska:-'",,,,,,,,
USA: NJ,North America:USA:New Jersey:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: NJ','North America:USA:New Jersey:-'",,,,,,,,
USA: NV,North America:USA:Nevada:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: NV','North America:USA:Nevada:-'",,,,,,,,
USA: OH,North America:USA:Ohio:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: OH','North America:USA:Ohio:-'",,,,,,,,
USA: PA,North America:USA:Pennsylvania:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: PA','North America:USA:Pennsylvania:-'",,,,,,,,
USA: SC,North America:USA:South Carolina:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: SC','North America:USA:South Carolina:-'",,,,,,,,
USA: UT,North America:USA:Utah:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: UT','North America:USA:Utah:-'",,,,,,,,
Turkey,Europe:Turkey:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Turkey','Europe:Turkey:-:-'",,,,,,,,
Greece,Europe:Greece:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Greece','Europe:Greece:-:-'",,,,,,,,
USA: Maricopa County Arizona,North America:USA:Arizona:Maricopa County,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Maricopa County Arizona','North America:USA:Arizona:Maricopa County'",,,,,,,,
USA: HI,North America:USA:Hawaii:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: HI','North America:USA:Hawaii:-'",,,,,,,,
USA: ID,North America:USA:Idaho:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: ID','North America:USA:Idaho:-'",,,,,,,,
USA: New Orleans LA,North America:USA:Louisiana:New Orleans,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: New Orleans LA','North America:USA:Louisiana:New Orleans'",,,,,,,,
India: Rajkot,Asia:India:Gujarat:Rajkot,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Rajkot','Asia:India:Gujarat:Rajkot'",,,,,,,,
Germany,Europe:Germany:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Germany','Europe:Germany:-:-'",,,,,,,,
Germany: Dusseldorf,Europe:Germany:Dusseldorf:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Germany: Dusseldorf','Europe:Germany:Dusseldorf:-'",,,,,,,,
India,Asia:India:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India','Asia:India:-:-'",,,,,,,,
Netherlands: Milheeze,Europe:Netherlands:Milheeze:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Netherlands: Milheeze','Europe:Netherlands:Milheeze:-'",,,,,,,,
USA: Michigan,North America:USA:Michigan:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Michigan','North America:USA:Michigan:-'",,,,,,,,
Puerto Rico,North America:USA:Puerto Rico:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Puerto Rico','North America:USA:Puerto Rico:-'",,,,,,,,
Kazakhstan,Asia:Kazakhstan:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Kazakhstan','Asia:Kazakhstan:-:-'",,,,,,,,
USA: Wisconsin,North America:USA:Wisconsin:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Wisconsin','North America:USA:Wisconsin:-'",,,,,,,,
USA: East Feliciana Parish Louisiana,North America:USA:Louisiana:East Feliciana Parish,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: East Feliciana Parish Louisiana','North America:USA:Louisiana:East Feliciana Parish'",,,,,,,,
India: Ahmedabad,Asia:India:Gujarat:Ahmedabad,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Ahmedabad','Asia:India:Gujarat:Ahmedabad'",,,,,,,,
India: Gandhinagar,Asia:India:Gujarat:Gandhinagar,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Gandhinagar','Asia:India:Gujarat:Gandhinagar'",,,,,,,,
India: Mansa,Asia:India:Gujarat:Mansa,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Mansa','Asia:India:Gujarat:Mansa'",,,,,,,,
China: Guangdong Guangzhou,Asia:China:Guangdong:Guangzhou,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','China: Guangdong Guangzhou','Asia:China:Guangdong:Guangzhou'",,,,,,,,
USA: MARINGOUIN LA,North America:USA:Louisiana:Maringouin,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: MARINGOUIN LA','North America:USA:Louisiana:Maringouin'",,,,,,,,
USA: KENNER LA,North America:USA:Louisiana:Kenner,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: KENNER LA','North America:USA:Louisiana:Kenner'",,,,,,,,
USA: KILLONA LA,North America:USA:Louisiana:Killona,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: KILLONA LA','North America:USA:Louisiana:Killona'",,,,,,,,
USA: SAINT ROSE LA,North America:USA:Louisiana:Sant Rose,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: SAINT ROSE LA','North America:USA:Louisiana:Sant Rose'",,,,,,,,
USA: LOCKPORT LA,North America:USA:Louisiana:Lockport,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: LOCKPORT LA','North America:USA:Louisiana:Lockport'",,,,,,,,
USA: NEW ORLEANS LA,North America:USA:Louisiana:New Orleans,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: NEW ORLEANS LA','North America:USA:Louisiana:New Orleans'",,,,,,,,
USA: LULING LA,North America:USA:Louisiana:Luling,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: LULING LA','North America:USA:Louisiana:Luling'",,,,,,,,
USA: RACELAND LA,North America:USA:Louisiana:Raceland,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: RACELAND LA','North America:USA:Louisiana:Raceland'",,,,,,,,
USA: GHEENS LA,North America:USA:Louisiana:Gheens,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: GHEENS LA','North America:USA:Louisiana:Gheens'",,,,,,,,
USA: THIBODAUX LA,North America:USA:Louisiana:Thibodaux,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: THIBODAUX LA','North America:USA:Louisiana:Thibodaux'",,,,,,,,
USA: Slidell LA,North America:USA:Louisiana:Slidell,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Slidell LA','North America:USA:Louisiana:Slidell'",,,,,,,,
USA: Lacombe LA,North America:USA:Louisiana:Lacombe,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Lacombe LA','North America:USA:Louisiana:Lacombe'",,,,,,,,
USA: HOUMA LA,North America:USA:Louisiana:Houma,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: HOUMA LA','North America:USA:Louisiana:Houma'",,,,,,,,
USA: SLIDELL LA,North America:USA:Louisiana:Slidell,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: SLIDELL LA','North America:USA:Louisiana:Slidell'",,,,,,,,
Thailand,Asia:Thailand:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Thailand','Asia:Thailand:-:-'",,,,,,,,
Iran,Asia:Iran:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Iran','Asia:Iran:-:-'",,,,,,,,
Serbia,Europe:Serbia:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Serbia','Europe:Serbia:-:-'",,,,,,,,
India: Surat,Asia:India:Gujarat:Surat,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Surat','Asia:India:Gujarat:Surat'",,,,,,,,
Netherlands,Europe:Netherlands:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Netherlands','Europe:Netherlands:-:-'",,,,,,,,
India: Hyderabad,Asia:India:Telangana:Hyderabad,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Hyderabad','Asia:India:Telangana:Hyderabad'",,,,,,,,
Greece: Athens,Europe:Greece:Athens:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Greece: Athens','Europe:Greece:Athens:-'",,,,,,,,
Serbia: Novi Pazar,Europe:Serbia:Novi Pazar:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Serbia: Novi Pazar','Europe:Serbia:Novi Pazar:-'",,,,,,,,
Guam,Oceania:Guam:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Guam','Oceania:Guam:-:-'",,,,,,,,
Uruguay,South America:Uruguay:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Uruguay','South America:Uruguay:-:-'",,,,,,,,
USA: AK,North America:USA:Alaska:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: AK','North America:USA:Alaska:-'",,,,,,,,
India: Prantij,Asia:India:Gujarat:Prantij,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Prantij','Asia:India:Gujarat:Prantij'",,,,,,,,
India: Modasa,Asia:India:Gujarat:Modasa,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Modasa','Asia:India:Gujarat:Modasa'",,,,,,,,
India: Dhansura,Asia:India:Gujarat:Dhansura,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Dhansura','Asia:India:Gujarat:Dhansura'",,,,,,,,
Colombia,South America:Colombia:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Colombia','South America:Colombia:-:-'",,,,,,,,
USA: VT,North America:USA:Vermont:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: VT','North America:USA:Vermont:-'",,,,,,,,
USA: PR,North America:USA:Puerto Rico:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: PR','North America:USA:Puerto Rico:-'",,,,,,,,
Bangladesh,Asia:Bangladesh:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Bangladesh','Asia:Bangladesh:-:-'",,,,,,,,
India: Himatnagar,Asia:India:Gujarat:Himatnagar,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Himatnagar','Asia:India:Gujarat:Himatnagar'",,,,,,,,
India: Dahegam,Asia:India:Gujarat:Dahegam,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','India: Dahegam','Asia:India:Gujarat:Dahegam'",,,,,,,,
Poland,Europe:Poland:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Poland','Europe:Poland:-:-'",,,,,,,,
Pakistan: Karachi,Asia:Pakistan:Karachi:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Pakistan: Karachi','Asia:Pakistan:Karachi:-'",,,,,,,,
Africa:Algeria:Boufarik:,Africa:Algeria:Boufarik:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Africa:Algeria:Boufarik:','Africa:Algeria:Boufarik:-'",,,,,,,,
South America:Argentina:Ciudad Autonoma de Buenos Aires:,South America:Argentina:Ciudad Autonoma de Buenos Aires:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','South America:Argentina:Ciudad Autonoma de Buenos Aires:','South America:Argentina:Ciudad Autonoma de Buenos Aires:-'",,,,,,,,
Oceania:Australia:New South Wales:Sydney,Oceania:Australia:New South Wales:Sydney,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Oceania:Australia:New South Wales:Sydney','Oceania:Australia:New South Wales:Sydney'",,,,,,,,
Oceania:Australia:Victoria:,Oceania:Australia:Victoria:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Oceania:Australia:Victoria:','Oceania:Australia:Victoria:-'",,,,,,,,
Europe:United Kingdom:England:,Europe:United Kingdom:England:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:','Europe:United Kingdom:England:-'",,,,,,,,
South America:Argentina:Buenos Aires:,South America:Argentina:Buenos Aires:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','South America:Argentina:Buenos Aires:','South America:Argentina:Buenos Aires:-'",,,,,,,,
South America:Argentina:Buenos Aires:Quilmes,South America:Argentina:Buenos Aires:Quilmes,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','South America:Argentina:Buenos Aires:Quilmes','South America:Argentina:Buenos Aires:Quilmes'",,,,,,,,
Europe:United Kingdom:England:South Yorkshire,Europe:United Kingdom:England:South Yorkshire,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:South Yorkshire','Europe:United Kingdom:England:South Yorkshire'",,,,,,,,
Europe:United Kingdom:England:Northamtonshire,Europe:United Kingdom:England:Northamtonshire,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:Northamtonshire','Europe:United Kingdom:England:Northamtonshire'",,,,,,,,
Europe:United Kingdom:England:London,Europe:United Kingdom:England:London,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:London','Europe:United Kingdom:England:London'",,,,,,,,
Europe:United Kingdom:England:Nottinghamshire,Europe:United Kingdom:England:Nottinghamshire,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:Nottinghamshire','Europe:United Kingdom:England:Nottinghamshire'",,,,,,,,
Europe:United Kingdom:England:Derbyshire,Europe:United Kingdom:England:Derbyshire,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:Derbyshire','Europe:United Kingdom:England:Derbyshire'",,,,,,,,
Europe:United Kingdom:England:Yorkshire,Europe:United Kingdom:England:Yorkshire,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:United Kingdom:England:Yorkshire','Europe:United Kingdom:England:Yorkshire'",,,,,,,,
Europe:Estonia:Estonia:,Europe:Estonia:Estonia:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:Estonia:Estonia:','Europe:Estonia:Estonia:-'",,,,,,,,
Europe:Finland:Finland:,Europe:Finland:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:Finland:Finland:','Europe:Finland:-:-'",,,,,,,,
Europe:Finland:Helsinki:,Europe:Finland:Helsinki:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:Finland:Helsinki:','Europe:Finland:Helsinki:-'",,,,,,,,
Europe:Finland:Finland:Rovaniemi,Europe:Finland:Finland:Rovaniemi,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:Finland:Finland:Rovaniemi','Europe:Finland:Finland:Rovaniemi'",,,,,,,,
Asia:China:Guangdong:Foshan,Asia:China:Guangdong:Foshan,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Asia:China:Guangdong:Foshan','Asia:China:Guangdong:Foshan'",,,,,,,,
Europe:France:France:,Europe:France:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:France:','Europe:France:-:-'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Privas,Europe:France:Auvergne-Rhone-Alpes:Privas,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Privas','Europe:France:Auvergne-Rhone-Alpes:Privas'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Macon,Europe:France:Auvergne-Rhone-Alpes:Macon,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Macon','Europe:France:Auvergne-Rhone-Alpes:Macon'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Valence,Europe:France:Auvergne-Rhone-Alpes:Valence,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Valence','Europe:France:Auvergne-Rhone-Alpes:Valence'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Venissieux,Europe:France:Auvergne-Rhone-Alpes:Venissieux,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Venissieux','Europe:France:Auvergne-Rhone-Alpes:Venissieux'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Lyon,Europe:France:Auvergne-Rhone-Alpes:Lyon,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Lyon','Europe:France:Auvergne-Rhone-Alpes:Lyon'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Bourg-en-Bresse,Europe:France:Auvergne-Rhone-Alpes:Bourg-en-Bresse,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Bourg-en-Bresse','Europe:France:Auvergne-Rhone-Alpes:Bourg-en-Bresse'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Saint-Priest,Europe:France:Auvergne-Rhone-Alpes:Saint-Priest,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Saint-Priest','Europe:France:Auvergne-Rhone-Alpes:Saint-Priest'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:Vienne,Europe:France:Auvergne-Rhone-Alpes:Vienne,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:Vienne','Europe:France:Auvergne-Rhone-Alpes:Vienne'",,,,,,,,
Europe:France:Bretagne:Brest,Europe:France:Bretagne:Brest,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bretagne:Brest','Europe:France:Bretagne:Brest'",,,,,,,,
Europe:France:Bretagne:Rennes,Europe:France:Bretagne:Rennes,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bretagne:Rennes','Europe:France:Bretagne:Rennes'",,,,,,,,
Europe:France:Bretagne:Ploudalmezeau,Europe:France:Bretagne:Ploudalmezeau,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bretagne:Ploudalmezeau','Europe:France:Bretagne:Ploudalmezeau'",,,,,,,,
Europe:France:Bourgogne-France-Comt̩:Montreux-Chateau,Europe:France:Bourgogne-Franche-Comte:Montreux-Chateau,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bourgogne-France-Comt̩:Montreux-Chateau','Europe:France:Bourgogne-Franche-Comte:Montreux-Chateau'",,,,,,,,
Europe:France:Bourgogne-France-Comt̩:Thise,Europe:France:Bourgogne-Franche-Comte:Thise,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bourgogne-France-Comt̩:Thise','Europe:France:Bourgogne-Franche-Comte:Thise'",,,,,,,,
Europe:France:Bourgogne:Dijon,Europe:France:Bourgogne:Dijon,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bourgogne:Dijon','Europe:France:Bourgogne:Dijon'",,,,,,,,
Europe:France:Bourgogne-France-Comt̩:Chalon sur Saone,Europe:France:Bourgogne-Franche-Comte:Chalon sur Saone,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Bourgogne-France-Comt̩:Chalon sur Saone','Europe:France:Bourgogne-Franche-Comte:Chalon sur Saone'",,,,,,,,
Europe:France:Auvergne-Rh̫ne-Alpes:,Europe:France:Auvergne-Rhone-Alpes:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Auvergne-Rh̫ne-Alpes:','Europe:France:Auvergne-Rhone-Alpes:-'",,,,,,,,
Europe:France:Ile de France:,Europe:France:Ile de France:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Ile de France:','Europe:France:Ile de France:-'",,,,,,,,
Europe:France:Hauts de France:,Europe:France:Hauts de France:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Hauts de France:','Europe:France:Hauts de France:-'",,,,,,,,
Europe:France:Centre-Val de Loire:Tours,Europe:France:Centre-Val de Loire:Tours,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Centre-Val de Loire:Tours','Europe:France:Centre-Val de Loire:Tours'",,,,,,,,
Europe:France:Centre-Val de Loire:Abondant,Europe:France:Centre-Val de Loire:Abondant,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Europe:France:Centre-Val de Loire:Abondant','Europe:France:Centre-Val de Loire:Abondant'",,,,,,,,
