"value","fixed"
"India: Gujarat, Mansa","Asia:India:Gujarat:Mansa"
"India: Gujarat, Dahegam","Asia:India:Gujarat:Dahegam"
"USA: CA, San Diego County","North America:USA:California:San Diego County"
"Denmark","Europe:Denmark:-:-"
"Denmark:not provided","Europe:Denmark:-:-"
"United Kingdom:England","Europe:United Kingdom:England:-"
"United Kingdom:Scotland","Europe:United Kingdom:Scotland:-"
"Netherlands:Delft","Europe:Netherlands:South Holland:Delft"
"Netherlands:Nieuwendijk","Europe:Netherlands:North Brabant:Nieuwendijk"
"Netherlands:Diemen","Europe:Netherlands:North Holland:Diemen"
"Netherlands:Oss","Europe:Netherlands:North Brabant:Oss"
"Netherlands:Houten","Europe:Netherlands:Utrecht:Houten"
"Netherlands:Helmond","Europe:Netherlands:North Brabant:Helmond"
"Netherlands:Utrecht","Europe:Netherlands:Utrecht:-"
"Netherlands:Loon","Europe:Netherlands:North Brabant:Loon op zand"
"Netherlands:Tilburg","Europe:Netherlands:North Brabant:Tilburg"
"Netherlands:Coevorden","Europe:Netherlands:Drenthe:Coevorden"
"Netherlands:Rotterdam","Europe:Netherlands:South Holland:Rotterdam"
"Netherlands:Eindhoven","Europe:Netherlands:North Brabant:Eindhoven"
"Netherlands:Haarlem","Europe:Netherlands:North Holland:Haarlem"
"Netherlands:Dalen","Europe:Netherlands:Drenthe:Dalen"
"Netherlands:Andel","Europe:Netherlands:North Brabant:Andel"
"Netherlands:Berlicum","Europe:Netherlands:North Brabant:Berlicum"
"Netherlands:Hardinxveld","Europe:Netherlands:South Holland:Hardinxveld Giessendam"
"Netherlands:Oisterwijk","Europe:Netherlands:North Brabant:Oisterwijk"
"Netherlands:Blaricum","Europe:Netherlands:North Brabant:Blaricum"
"Netherlands:Naarden","Europe:Netherlands:North Holland:Naarden"
"Netherlands:Zeewolde","Europe:Netherlands:Flevoland:Zeewolde"
"Netherlands:Nootdorp","Europe:Netherlands:South Holland:Nootdorp"
